lat,lon,loc_pair,route,type,intersection,centroid,ord
39.949398040771484,-75.19110870361328,08 30,08 30 driving,driving,08,30,23
39.94935989379883,-75.19111633300781,08 30,08 30 driving,driving,08,30,24
39.94926834106445,-75.19107818603516,08 30,08 30 driving,driving,08,30,25
39.95686721801758,-75.1995849609375,09 30,09 30 driving,driving,09,30,1
39.955867767333984,-75.19158935546875,09 30,09 30 driving,driving,09,30,2
39.95586013793945,-75.191436767578125,09 30,09 30 driving,driving,09,30,3
39.95542907714844,-75.1915283203125,09 30,09 30 driving,driving,09,30,4
39.95534896850586,-75.1915512084961,09 30,09 30 driving,driving,09,30,5
39.955078125,-75.1916275024414,09 30,09 30 driving,driving,09,30,6
39.95446014404297,-75.19175720214844,09 30,09 30 driving,driving,09,30,7
39.95356750488281,-75.19194793701172,09 30,09 30 driving,driving,09,30,8
39.953208923339844,-75.1920166015625,09 30,09 30 driving,driving,09,30,9
39.95246887207031,-75.1921615600586,09 30,09 30 driving,driving,09,30,10
39.951229095458984,-75.19242095947266,09 30,09 30 driving,driving,09,30,11
39.950439453125,-75.19258880615234,09 30,09 30 driving,driving,09,30,12
39.950347900390625,-75.19181823730469,09 30,09 30 driving,driving,09,30,13
39.95030975341797,-75.19165802001953,09 30,09 30 driving,driving,09,30,14
39.94968032836914,-75.19078063964844,09 30,09 30 driving,driving,09,30,15
39.949398040771484,-75.19110870361328,09 30,09 30 driving,driving,09,30,16
39.9493293762207,-75.19111633300781,09 30,09 30 driving,driving,09,30,17
39.94926834106445,-75.19107818603516,09 30,09 30 driving,driving,09,30,18
39.95671844482422,-75.197967529296875,10 30,10 30 driving,driving,10,30,1
39.9574089050293,-75.19774627685547,10 30,10 30 driving,driving,10,30,2
39.956939697265625,-75.19400787353516,10 30,10 30 driving,driving,10,30,3
39.956939697265625,-75.19398498535156,10 30,10 30 driving,driving,10,30,4
39.9561882019043,-75.19413757324219,10 30,10 30 driving,driving,10,30,5
39.95610809326172,-75.1934585571289,10 30,10 30 driving,driving,10,30,6
39.955867767333984,-75.19158935546875,10 30,10 30 driving,driving,10,30,7
39.95586013793945,-75.191436767578125,10 30,10 30 driving,driving,10,30,8
39.95542907714844,-75.1915283203125,10 30,10 30 driving,driving,10,30,9
39.95534896850586,-75.1915512084961,10 30,10 30 driving,driving,10,30,10
39.955078125,-75.1916275024414,10 30,10 30 driving,driving,10,30,11
39.954097747802734,-75.19184112548828,10 30,10 30 driving,driving,10,30,12
39.95341873168945,-75.19197845458984,10 30,10 30 driving,driving,10,30,13
39.95281982421875,-75.19210052490234,10 30,10 30 driving,driving,10,30,14
39.95180892944336,-75.19229888916016,10 30,10 30 driving,driving,10,30,15
39.95087814331055,-75.19249725341797,10 30,10 30 driving,driving,10,30,16
39.950439453125,-75.19258880615234,10 30,10 30 driving,driving,10,30,17
39.95035934448242,-75.191925048828125,10 30,10 30 driving,driving,10,30,18
39.9503288269043,-75.19171905517578,10 30,10 30 driving,driving,10,30,19
39.95023727416992,-75.191558837890625,10 30,10 30 driving,driving,10,30,20
39.94968032836914,-75.19078063964844,10 30,10 30 driving,driving,10,30,21
39.94947814941406,-75.19102478027344,10 30,10 30 driving,driving,10,30,22
39.949398040771484,-75.19110870361328,10 30,10 30 driving,driving,10,30,23
39.94935989379883,-75.19111633300781,10 30,10 30 driving,driving,10,30,24
